"sektor","kön","månad","tabellinnehåll","Antal pågående anställningar"
"näringslivet","män","2018M10","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2018M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2018M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2018M11","Antal pågående anställningar",..
"näringslivet","män","2018M11","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2018M11","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2018M11","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2018M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2018M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2018M12","Antal pågående anställningar",..
"näringslivet","män","2018M12","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2018M12","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2018M12","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2018M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2018M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M01","Antal pågående anställningar",..
"näringslivet","män","2019M01","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M01","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M01","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M02","Antal pågående anställningar",..
"näringslivet","män","2019M02","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M02","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M02","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M03","Antal pågående anställningar",..
"näringslivet","män","2019M03","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M03","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M03","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M04","Antal pågående anställningar",..
"näringslivet","män","2019M04","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M04","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M04","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M05","Antal pågående anställningar",..
"näringslivet","män","2019M05","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M05","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M05","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M06","Antal pågående anställningar",..
"näringslivet","män","2019M06","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M06","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M06","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M07","Antal pågående anställningar",..
"näringslivet","män","2019M07","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M07","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M07","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M08","Antal pågående anställningar",..
"näringslivet","män","2019M08","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M08","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M08","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M09","Antal pågående anställningar",..
"näringslivet","män","2019M09","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M09","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M09","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M10","Antal pågående anställningar",..
"näringslivet","män","2019M10","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M10","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M10","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M11","Antal pågående anställningar",..
"näringslivet","män","2019M11","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M11","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M11","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2019M12","Antal pågående anställningar",..
"näringslivet","män","2019M12","Antal pågående anställningar - anställningstid >6 månader",..
"näringslivet","män","2019M12","Antal pågående anställningar - anställningstid <=6 månader",..
"näringslivet","män","2019M12","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2019M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2019M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M01","Antal pågående anställningar",2083783
"näringslivet","män","2020M01","Antal pågående anställningar - anställningstid >6 månader",1639533
"näringslivet","män","2020M01","Antal pågående anställningar - anställningstid <=6 månader",444250
"näringslivet","män","2020M01","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M02","Antal pågående anställningar",2075986
"näringslivet","män","2020M02","Antal pågående anställningar - anställningstid >6 månader",1636617
"näringslivet","män","2020M02","Antal pågående anställningar - anställningstid <=6 månader",439369
"näringslivet","män","2020M02","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M03","Antal pågående anställningar",2083000
"näringslivet","män","2020M03","Antal pågående anställningar - anställningstid >6 månader",1650421
"näringslivet","män","2020M03","Antal pågående anställningar - anställningstid <=6 månader",432579
"näringslivet","män","2020M03","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M04","Antal pågående anställningar",2088564
"näringslivet","män","2020M04","Antal pågående anställningar - anställningstid >6 månader",1653522
"näringslivet","män","2020M04","Antal pågående anställningar - anställningstid <=6 månader",435042
"näringslivet","män","2020M04","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M05","Antal pågående anställningar",2055619
"näringslivet","män","2020M05","Antal pågående anställningar - anställningstid >6 månader",1639507
"näringslivet","män","2020M05","Antal pågående anställningar - anställningstid <=6 månader",416112
"näringslivet","män","2020M05","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M06","Antal pågående anställningar",2084112
"näringslivet","män","2020M06","Antal pågående anställningar - anställningstid >6 månader",1631926
"näringslivet","män","2020M06","Antal pågående anställningar - anställningstid <=6 månader",452186
"näringslivet","män","2020M06","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M07","Antal pågående anställningar",2100765
"näringslivet","män","2020M07","Antal pågående anställningar - anställningstid >6 månader",1636557
"näringslivet","män","2020M07","Antal pågående anställningar - anställningstid <=6 månader",464208
"näringslivet","män","2020M07","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M08","Antal pågående anställningar",2090382
"näringslivet","män","2020M08","Antal pågående anställningar - anställningstid >6 månader",1639640
"näringslivet","män","2020M08","Antal pågående anställningar - anställningstid <=6 månader",450742
"näringslivet","män","2020M08","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M09","Antal pågående anställningar",2094194
"näringslivet","män","2020M09","Antal pågående anställningar - anställningstid >6 månader",1648820
"näringslivet","män","2020M09","Antal pågående anställningar - anställningstid <=6 månader",445374
"näringslivet","män","2020M09","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M10","Antal pågående anställningar",2063816
"näringslivet","män","2020M10","Antal pågående anställningar - anställningstid >6 månader",1652417
"näringslivet","män","2020M10","Antal pågående anställningar - anställningstid <=6 månader",411399
"näringslivet","män","2020M10","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M11","Antal pågående anställningar",2073527
"näringslivet","män","2020M11","Antal pågående anställningar - anställningstid >6 månader",1652629
"näringslivet","män","2020M11","Antal pågående anställningar - anställningstid <=6 månader",420898
"näringslivet","män","2020M11","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2020M12","Antal pågående anställningar",2095589
"näringslivet","män","2020M12","Antal pågående anställningar - anställningstid >6 månader",1655720
"näringslivet","män","2020M12","Antal pågående anställningar - anställningstid <=6 månader",439869
"näringslivet","män","2020M12","Årlig förändring av antalet pågående anställningar, procent",..
"näringslivet","män","2020M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"näringslivet","män","2020M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"näringslivet","män","2021M01","Antal pågående anställningar",2019583
"näringslivet","män","2021M01","Antal pågående anställningar - anställningstid >6 månader",1632865
"näringslivet","män","2021M01","Antal pågående anställningar - anställningstid <=6 månader",386718
"näringslivet","män","2021M01","Årlig förändring av antalet pågående anställningar, procent",-3.1
"näringslivet","män","2021M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",-0.4
"näringslivet","män","2021M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-13.0
"näringslivet","män","2021M02","Antal pågående anställningar",2015385
"näringslivet","män","2021M02","Antal pågående anställningar - anställningstid >6 månader",1625502
"näringslivet","män","2021M02","Antal pågående anställningar - anställningstid <=6 månader",389883
"näringslivet","män","2021M02","Årlig förändring av antalet pågående anställningar, procent",-2.9
"näringslivet","män","2021M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",-0.7
"näringslivet","män","2021M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-11.3
"näringslivet","män","2021M03","Antal pågående anställningar",2031568
"näringslivet","män","2021M03","Antal pågående anställningar - anställningstid >6 månader",1640133
"näringslivet","män","2021M03","Antal pågående anställningar - anställningstid <=6 månader",391435
"näringslivet","män","2021M03","Årlig förändring av antalet pågående anställningar, procent",-2.5
"näringslivet","män","2021M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",-0.6
"näringslivet","män","2021M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-9.5
"näringslivet","män","2021M04","Antal pågående anställningar",2065599
"näringslivet","män","2021M04","Antal pågående anställningar - anställningstid >6 månader",1650075
"näringslivet","män","2021M04","Antal pågående anställningar - anställningstid <=6 månader",415524
"näringslivet","män","2021M04","Årlig förändring av antalet pågående anställningar, procent",-1.1
"näringslivet","män","2021M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",-0.2
"näringslivet","män","2021M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-4.5
"näringslivet","män","2021M05","Antal pågående anställningar",2096020
"näringslivet","män","2021M05","Antal pågående anställningar - anställningstid >6 månader",1652909
"näringslivet","män","2021M05","Antal pågående anställningar - anställningstid <=6 månader",443111
"näringslivet","män","2021M05","Årlig förändring av antalet pågående anställningar, procent",2.0
"näringslivet","män","2021M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",0.8
"näringslivet","män","2021M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",6.5
"näringslivet","män","2021M06","Antal pågående anställningar",2151514
"näringslivet","män","2021M06","Antal pågående anställningar - anställningstid >6 månader",1650775
"näringslivet","män","2021M06","Antal pågående anställningar - anställningstid <=6 månader",500739
"näringslivet","män","2021M06","Årlig förändring av antalet pågående anställningar, procent",3.2
"näringslivet","män","2021M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",1.2
"näringslivet","män","2021M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",10.7
"näringslivet","män","2021M07","Antal pågående anställningar",2190339
"näringslivet","män","2021M07","Antal pågående anställningar - anställningstid >6 månader",1655250
"näringslivet","män","2021M07","Antal pågående anställningar - anställningstid <=6 månader",535089
"näringslivet","män","2021M07","Årlig förändring av antalet pågående anställningar, procent",4.3
"näringslivet","män","2021M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",1.1
"näringslivet","män","2021M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",15.3
"näringslivet","män","2021M08","Antal pågående anställningar",2188078
"näringslivet","män","2021M08","Antal pågående anställningar - anställningstid >6 månader",1653347
"näringslivet","män","2021M08","Antal pågående anställningar - anställningstid <=6 månader",534731
"näringslivet","män","2021M08","Årlig förändring av antalet pågående anställningar, procent",4.7
"näringslivet","män","2021M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",0.8
"näringslivet","män","2021M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",18.6
"näringslivet","män","2021M09","Antal pågående anställningar",2195698
"näringslivet","män","2021M09","Antal pågående anställningar - anställningstid >6 månader",1655486
"näringslivet","män","2021M09","Antal pågående anställningar - anställningstid <=6 månader",540212
"näringslivet","män","2021M09","Årlig förändring av antalet pågående anställningar, procent",4.8
"näringslivet","män","2021M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",0.4
"näringslivet","män","2021M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",21.3
"näringslivet","män","2021M10","Antal pågående anställningar",2163862
"näringslivet","män","2021M10","Antal pågående anställningar - anställningstid >6 månader",1653011
"näringslivet","män","2021M10","Antal pågående anställningar - anställningstid <=6 månader",510851
"näringslivet","män","2021M10","Årlig förändring av antalet pågående anställningar, procent",4.8
"näringslivet","män","2021M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",0.0
"näringslivet","män","2021M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",24.2
"näringslivet","män","2021M11","Antal pågående anställningar",2183690
"näringslivet","män","2021M11","Antal pågående anställningar - anställningstid >6 månader",1659733
"näringslivet","män","2021M11","Antal pågående anställningar - anställningstid <=6 månader",523957
"näringslivet","män","2021M11","Årlig förändring av antalet pågående anställningar, procent",5.3
"näringslivet","män","2021M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",0.4
"näringslivet","män","2021M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",24.5
"näringslivet","män","2021M12","Antal pågående anställningar",2223539
"näringslivet","män","2021M12","Antal pågående anställningar - anställningstid >6 månader",1673998
"näringslivet","män","2021M12","Antal pågående anställningar - anställningstid <=6 månader",549541
"näringslivet","män","2021M12","Årlig förändring av antalet pågående anställningar, procent",6.1
"näringslivet","män","2021M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",1.1
"näringslivet","män","2021M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",24.9
"näringslivet","män","2022M01","Antal pågående anställningar",2147218
"näringslivet","män","2022M01","Antal pågående anställningar - anställningstid >6 månader",1662520
"näringslivet","män","2022M01","Antal pågående anställningar - anställningstid <=6 månader",484698
"näringslivet","män","2022M01","Årlig förändring av antalet pågående anställningar, procent",6.3
"näringslivet","män","2022M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",1.8
"näringslivet","män","2022M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",25.3
"näringslivet","män","2022M02","Antal pågående anställningar",2133121
"näringslivet","män","2022M02","Antal pågående anställningar - anställningstid >6 månader",1659384
"näringslivet","män","2022M02","Antal pågående anställningar - anställningstid <=6 månader",473737
"näringslivet","män","2022M02","Årlig förändring av antalet pågående anställningar, procent",5.8
"näringslivet","män","2022M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",2.1
"näringslivet","män","2022M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",21.5
"näringslivet","män","2022M03","Antal pågående anställningar",2155493
"näringslivet","män","2022M03","Antal pågående anställningar - anställningstid >6 månader",1681616
"näringslivet","män","2022M03","Antal pågående anställningar - anställningstid <=6 månader",473877
"näringslivet","män","2022M03","Årlig förändring av antalet pågående anställningar, procent",6.1
"näringslivet","män","2022M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",2.5
"näringslivet","män","2022M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",21.1
"näringslivet","män","2022M04","Antal pågående anställningar",2193198
"näringslivet","män","2022M04","Antal pågående anställningar - anställningstid >6 månader",1695685
"näringslivet","män","2022M04","Antal pågående anställningar - anställningstid <=6 månader",497513
"näringslivet","män","2022M04","Årlig förändring av antalet pågående anställningar, procent",6.2
"näringslivet","män","2022M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",2.8
"näringslivet","män","2022M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",19.7
"näringslivet","män","2022M05","Antal pågående anställningar",2237408
"näringslivet","män","2022M05","Antal pågående anställningar - anställningstid >6 månader",1700789
"näringslivet","män","2022M05","Antal pågående anställningar - anställningstid <=6 månader",536619
"näringslivet","män","2022M05","Årlig förändring av antalet pågående anställningar, procent",6.7
"näringslivet","män","2022M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",2.9
"näringslivet","män","2022M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",21.1
"näringslivet","män","2022M06","Antal pågående anställningar",2285924
"näringslivet","män","2022M06","Antal pågående anställningar - anställningstid >6 månader",1701424
"näringslivet","män","2022M06","Antal pågående anställningar - anställningstid <=6 månader",584500
"näringslivet","män","2022M06","Årlig förändring av antalet pågående anställningar, procent",6.2
"näringslivet","män","2022M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.1
"näringslivet","män","2022M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",16.7
"näringslivet","män","2022M07","Antal pågående anställningar",2311630
"näringslivet","män","2022M07","Antal pågående anställningar - anställningstid >6 månader",1703699
"näringslivet","män","2022M07","Antal pågående anställningar - anställningstid <=6 månader",607931
"näringslivet","män","2022M07","Årlig förändring av antalet pågående anställningar, procent",5.5
"näringslivet","män","2022M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",2.9
"näringslivet","män","2022M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",13.6
"näringslivet","män","2022M08","Antal pågående anställningar",2292349
"näringslivet","män","2022M08","Antal pågående anställningar - anställningstid >6 månader",1703636
"näringslivet","män","2022M08","Antal pågående anställningar - anställningstid <=6 månader",588713
"näringslivet","män","2022M08","Årlig förändring av antalet pågående anställningar, procent",4.8
"näringslivet","män","2022M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.0
"näringslivet","män","2022M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",10.1
"näringslivet","män","2022M09","Antal pågående anställningar",2294262
"näringslivet","män","2022M09","Antal pågående anställningar - anställningstid >6 månader",1710459
"näringslivet","män","2022M09","Antal pågående anställningar - anställningstid <=6 månader",583803
"näringslivet","män","2022M09","Årlig förändring av antalet pågående anställningar, procent",4.5
"näringslivet","män","2022M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.3
"näringslivet","män","2022M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",8.1
"näringslivet","män","2022M10","Antal pågående anställningar",2250478
"näringslivet","män","2022M10","Antal pågående anställningar - anställningstid >6 månader",1711780
"näringslivet","män","2022M10","Antal pågående anställningar - anställningstid <=6 månader",538698
"näringslivet","män","2022M10","Årlig förändring av antalet pågående anställningar, procent",4.0
"näringslivet","män","2022M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.6
"näringslivet","män","2022M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",5.5
"näringslivet","män","2022M11","Antal pågående anställningar",2253601
"näringslivet","män","2022M11","Antal pågående anställningar - anställningstid >6 månader",1723989
"näringslivet","män","2022M11","Antal pågående anställningar - anställningstid <=6 månader",529612
"näringslivet","män","2022M11","Årlig förändring av antalet pågående anställningar, procent",3.2
"näringslivet","män","2022M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.9
"näringslivet","män","2022M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",1.1
"näringslivet","män","2022M12","Antal pågående anställningar",2277459
"näringslivet","män","2022M12","Antal pågående anställningar - anställningstid >6 månader",1736642
"näringslivet","män","2022M12","Antal pågående anställningar - anställningstid <=6 månader",540817
"näringslivet","män","2022M12","Årlig förändring av antalet pågående anställningar, procent",2.4
"näringslivet","män","2022M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.7
"näringslivet","män","2022M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-1.6
"näringslivet","män","2023M01","Antal pågående anställningar",2200200
"näringslivet","män","2023M01","Antal pågående anställningar - anställningstid >6 månader",1722278
"näringslivet","män","2023M01","Antal pågående anställningar - anställningstid <=6 månader",477922
"näringslivet","män","2023M01","Årlig förändring av antalet pågående anställningar, procent",2.5
"näringslivet","män","2023M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.6
"näringslivet","män","2023M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-1.4
"näringslivet","män","2023M02","Antal pågående anställningar",2185605
"näringslivet","män","2023M02","Antal pågående anställningar - anställningstid >6 månader",1718260
"näringslivet","män","2023M02","Antal pågående anställningar - anställningstid <=6 månader",467345
"näringslivet","män","2023M02","Årlig förändring av antalet pågående anställningar, procent",2.5
"näringslivet","män","2023M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.5
"näringslivet","män","2023M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-1.3
"näringslivet","män","2023M03","Antal pågående anställningar",2196423
"näringslivet","män","2023M03","Antal pågående anställningar - anställningstid >6 månader",1742617
"näringslivet","män","2023M03","Antal pågående anställningar - anställningstid <=6 månader",453806
"näringslivet","män","2023M03","Årlig förändring av antalet pågående anställningar, procent",1.9
"näringslivet","män","2023M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.6
"näringslivet","män","2023M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-4.2
"näringslivet","män","2023M04","Antal pågående anställningar",2219897
"näringslivet","män","2023M04","Antal pågående anställningar - anställningstid >6 månader",1756179
"näringslivet","män","2023M04","Antal pågående anställningar - anställningstid <=6 månader",463718
"näringslivet","män","2023M04","Årlig förändring av antalet pågående anställningar, procent",1.2
"näringslivet","män","2023M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.6
"näringslivet","män","2023M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-6.8
"näringslivet","män","2023M05","Antal pågående anställningar",2253099
"näringslivet","män","2023M05","Antal pågående anställningar - anställningstid >6 månader",1760415
"näringslivet","män","2023M05","Antal pågående anställningar - anställningstid <=6 månader",492684
"näringslivet","män","2023M05","Årlig förändring av antalet pågående anställningar, procent",0.7
"näringslivet","män","2023M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",3.5
"näringslivet","män","2023M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",-8.2
"näringslivet","män","2023M06","Antal pågående anställningar",2297089
"näringslivet","män","2023M06","Antal pågående anställningar - anställningstid >6 månader",1758589
"näringslivet","män","2023M06","Antal pågående anställningar - anställningstid <=6 månader",538499
"näringslivet","män","2023M06","Årlig förändring av antalet pågående anställningar, procent",0.5
